시군구,구분,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,보행자,,기타,,미분류,
,,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타
,부상자수,897,177,25,88,5,31,9,562,335,177,25,88,5,31,9,3,3,6,6,,,7,7,2,2,250,250,294,294,1036,217,49,138,,36,5,591,445,217,49,138,,36,5,2,2,2,2,,,6,6,9,9,265,265,307,307,1002,264,29,135,2,37,1,534,468,264,29,135,2,37,1,6,6,4,4,,,4,4,3,3,279,279,238,238,957,271,22,123,1,28,8,504,453,271,22,123,1,28,8,4,4,2,2,,,4,4,2,2,239,239,253,253,904,168,56,116,1,13,2,548,356,168,56,116,1,13,2,4,4,6,6,,,2,2,3,3,1,1,230,230,302,302
화순군,사고건수,971,183,29,66,3,19,2,669,302,183,29,66,3,19,2,3,3,8,8,,,4,4,4,4,335,335,315,315,1142,213,41,62,2,29,5,790,352,213,41,62,2,29,5,4,4,5,5,,,3,3,3,3,406,406,369,369,1059,210,21,72,3,34,1,718,341,210,21,72,3,34,1,,,7,7,,,10,10,4,4,403,403,294,294,1118,276,31,66,4,24,4,713,405,276,31,66,4,24,4,3,3,12,12,,,8,8,3,3,333,333,354,354,1200,288,42,85,3,24,2,756,444,288,42,85,3,24,2,2,2,7,7,2,2,8,8,3,3,9,9,376,376,349,349
,사망자수,13,7,0,3,0,0,0,3,10,7,0,3,0,0,0,1,1,1,1,,,0,0,1,1,0,0,0,0,11,5,0,1,0,4,1,0,11,5,0,1,0,4,1,0,0,0,0,,,0,0,0,0,0,0,0,0,11,7,0,2,0,2,0,0,11,7,0,2,0,2,0,,,0,0,,,0,0,0,0,0,0,0,0,12,5,0,3,0,2,0,2,10,5,0,3,0,2,0,0,0,0,0,,,1,1,1,1,0,0,0,0,5,4,0,0,0,0,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,부상자수,1667,365,56,100,3,23,2,1118,549,365,56,100,3,23,2,3,3,7,7,,,11,11,3,3,561,561,533,533,1946,412,85,120,3,39,5,1282,664,412,85,120,3,39,5,5,5,5,5,,,5,5,5,5,644,644,618,618,1779,380,36,110,4,48,3,1198,581,380,36,110,4,48,3,,,9,9,,,15,15,5,5,662,662,507,507,1974,494,45,103,4,29,9,1290,684,494,45,103,4,29,9,4,4,12,12,,,10,10,2,2,527,527,735,735,2172,497,82,160,7,29,2,1395,777,497,82,160,7,29,2,2,2,7,7,2,2,16,16,3,3,10,10,633,633,722,722
장흥군,사고건수,552,144,19,72,,20,4,293,259,144,19,72,,20,4,5,5,9,9,,,5,5,6,6,119,119,149,149,608,158,17,77,1,24,1,330,278,158,17,77,1,24,1,7,7,3,3,,,8,8,4,4,140,140,168,168,617,173,24,73,,36,1,310,307,173,24,73,,36,1,5,5,11,11,1,1,2,2,8,8,142,142,141,141,653,149,17,80,,22,,385,268,149,17,80,,22,,4,4,13,13,1,1,5,5,8,8,166,166,188,188,588,144,12,76,,27,4,325,263,144,12,76,,27,4,3,3,7,7,,,,,5,5,9,9,151,151,150,150
,사망자수,11,5,1,3,,0,0,2,9,5,1,3,,0,0,1,1,1,1,,,0,0,0,0,0,0,0,0,13,9,0,1,0,2,0,1,12,9,0,1,0,2,0,1,1,0,0,,,0,0,0,0,0,0,0,0,11,4,0,3,,2,0,2,9,4,0,3,,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,4,0,3,,1,,1,8,4,0,3,,1,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13,4,0,4,,1,0,4,9,4,0,4,,1,0,1,1,0,0,,,,,3,3,0,0,0,0,0,0
,부상자수,815,220,30,101,,22,5,437,378,220,30,101,,22,5,4,4,8,8,,,5,5,7,7,178,178,235,235,915,263,35,107,1,24,1,484,431,263,35,107,1,24,1,8,8,3,3,,,15,15,5,5,193,193,260,260,932,287,40,120,,38,1,446,486,287,40,120,,38,1,5,5,11,11,1,1,4,4,9,9,210,210,206,206,1031,247,35,115,,25,,609,422,247,35,115,,25,,5,5,15,15,1,1,5,5,12,12,245,245,326,326,884,204,21,112,,30,4,513,371,204,21,112,,30,4,4,4,9,9,,,,,2,2,11,11,225,225,262,262
강진군,사고건수,616,140,19,87,1,17,20,332,284,140,19,87,1,17,20,4,4,,,,,4,4,8,8,151,151,165,165,614,182,20,80,1,17,16,298,316,182,20,80,1,17,16,3,3,5,5,,,2,2,6,6,139,139,143,143,615,171,14,88,2,38,6,296,319,171,14,88,2,38,6,7,7,8,8,,,2,2,9,9,153,153,117,117,643,205,16,81,,32,10,299,344,205,16,81,,32,10,2,2,5,5,,,2,2,6,6,135,135,149,149,631,205,15,72,3,28,3,305,326,205,15,72,3,28,3,4,4,2,2,,,4,4,6,6,8,8,152,152,129,129
,사망자수,11,5,0,3,0,0,3,0,11,5,0,3,0,0,3,0,0,,,,,0,0,0,0,0,0,0,0,14,8,0,2,0,1,0,3,11,8,0,2,0,1,0,1,1,1,1,,,1,1,0,0,0,0,0,0,6,1,0,1,0,3,0,1,5,1,0,1,0,3,0,0,0,0,0,,,1,1,0,0,0,0,0,0,5,2,0,1,,0,0,2,3,2,0,1,,0,0,0,0,0,0,,,0,0,2,2,0,0,0,0,9,2,1,3,0,1,0,2,7,2,1,3,0,1,0,1,1,0,0,,,0,0,1,1,0,0,0,0,0,0
,부상자수,1042,234,41,167,1,21,19,559,483,234,41,167,1,21,19,4,4,,,,,6,6,12,12,265,265,272,272,1044,348,41,135,3,19,17,481,563,348,41,135,3,19,17,2,2,5,5,,,5,5,8,8,243,243,218,218,971,308,25,144,2,41,7,444,527,308,25,144,2,41,7,8,8,9,9,,,1,1,13,13,226,226,187,187,1002,354,31,110,,34,10,463,539,354,31,110,,34,10,2,2,6,6,,,2,2,4,4,199,199,250,250,1119,353,27,172,4,27,3,533,586,353,27,172,4,27,3,3,3,2,2,,,5,5,7,7,11,11,272,272,233,233
해남군,사고건수,1008,203,40,154,1,25,3,582,426,203,40,154,1,25,3,8,8,1,1,,,3,3,11,11,266,266,293,293,1053,193,42,146,3,24,2,643,410,193,42,146,3,24,2,10,10,2,2,,,5,5,7,7,331,331,288,288,1126,281,22,140,1,27,3,652,474,281,22,140,1,27,3,9,9,2,2,,,6,6,10,10,341,341,284,284,1042,204,25,122,1,23,1,666,376,204,25,122,1,23,1,1,1,1,1,,,7,7,3,3,322,322,332,332,1094,210,30,134,,35,,685,409,210,30,134,,35,,2,2,4,4,,,2,2,3,3,19,19,316,316,339,339
,사망자수,22,6,1,11,0,1,0,3,19,6,1,11,0,1,0,0,0,0,0,,,0,0,3,3,0,0,0,0,17,3,3,7,0,2,0,2,15,3,3,7,0,2,0,1,1,0,0,,,0,0,1,1,0,0,0,0,22,4,1,10,0,2,0,5,17,4,1,10,0,2,0,2,2,0,0,,,1,1,2,2,0,0,0,0,16,7,0,5,0,1,0,3,13,7,0,5,0,1,0,0,0,0,0,,,2,2,1,1,0,0,0,0,14,3,1,8,,0,,2,12,3,1,8,,0,,0,0,1,1,,,0,0,0,0,0,0,1,1,0,0
,부상자수,1624,372,74,246,2,26,3,901,723,372,74,246,2,26,3,9,9,2,2,,,4,4,12,12,389,389,485,485,1588,310,79,212,3,27,2,955,633,310,79,212,3,27,2,10,10,2,2,,,6,6,7,7,472,472,458,458,1849,525,48,196,2,31,3,1044,805,525,48,196,2,31,3,9,9,2,2,,,6,6,13,13,544,544,470,470,1635,308,34,209,1,25,1,1057,578,308,34,209,1,25,1,1,1,1,1,,,8,8,3,3,474,474,570,570,1715,311,64,206,,42,,1092,623,311,64,206,,42,,2,2,3,3,,,3,3,3,3,22,22,464,464,595,595
영암군,사고건수,1209,241,31,114,3,22,20,778,431,241,31,114,3,22,20,,,3,3,,,8,8,6,6,378,378,383,383,1381,319,40,152,4,30,8,828,553,319,40,152,4,30,8,3,3,10,10,,,7,7,3,3,426,426,379,379,1372,317,32,148,6,27,9,833,539,317,32,148,6,27,9,2,2,7,7,,,9,9,7,7,467,467,341,341,1399,325,25,146,4,25,5,869,530,325,25,146,4,25,5,3,3,8,8,,,7,7,5,5,394,394,452,452,1286,318,35,101,10,22,,800,486,318,35,101,10,22,,2,2,6,6,,,7,7,2,2,9,9,378,378,396,396
,사망자수,19,10,0,2,0,2,2,3,16,10,0,2,0,2,2,,,1,1,,,0,0,2,2,0,0,0,0,24,6,9,6,0,0,2,1,23,6,9,6,0,0,2,0,0,0,0,,,0,0,1,1,0,0,0,0,11,4,0,5,0,0,1,1,10,4,0,5,0,0,1,0,0,0,0,,,0,0,1,1,0,0,0,0,9,4,0,2,0,0,1,2,7,4,0,2,0,0,1,0,0,1,1,,,0,0,1,1,0,0,0,0,14,4,2,3,0,4,,1,13,4,2,3,0,4,,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0
,부상자수,2093,443,99,191,4,22,18,1316,777,443,99,191,4,22,18,,,2,2,,,10,10,4,4,626,626,674,674,2364,563,101,250,5,37,8,1400,964,563,101,250,5,37,8,4,4,10,10,,,10,10,2,2,719,719,655,655,2314,574,109,265,8,34,11,1313,1001,574,109,265,8,34,11,2,2,8,8,,,12,12,8,8,732,732,551,551,2428,587,43,253,5,30,5,1505,923,587,43,253,5,30,5,4,4,7,7,,,11,11,5,5,628,628,850,850,2188,516,62,151,17,22,,1420,768,516,62,151,17,22,,3,3,7,7,,,8,8,3,3,13,13,616,616,770,770
무안군,사고건수,1565,269,33,117,2,33,,1111,454,269,33,117,2,33,,4,4,6,6,,,4,4,5,5,547,547,545,545,1660,282,41,88,2,27,,1220,440,282,41,88,2,27,,4,4,3,3,1,1,4,4,3,3,631,631,574,574,1745,291,31,127,,26,1,1269,476,291,31,127,,26,1,2,2,5,5,,,6,6,2,2,715,715,539,539,1832,390,43,119,3,45,1,1231,601,390,43,119,3,45,1,4,4,7,7,,,5,5,,,554,554,661,661,1937,453,41,134,2,36,2,1269,668,453,41,134,2,36,2,2,2,6,6,2,2,4,4,5,5,11,11,611,611,628,628
,사망자수,28,12,2,9,0,3,,2,26,12,2,9,0,3,,0,0,0,0,,,1,1,1,1,0,0,0,0,17,9,0,6,0,1,,1,16,9,0,6,0,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,8,2,6,,0,0,1,16,8,2,6,,0,0,1,1,0,0,,,0,0,0,0,0,0,0,0,15,6,0,7,0,1,0,1,14,6,0,7,0,1,0,0,0,1,1,,,0,0,,,0,0,0,0,14,7,0,4,0,0,0,3,11,7,0,4,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0
,부상자수,2924,504,71,191,4,34,,2120,804,504,71,191,4,34,,4,4,7,7,,,3,3,5,5,991,991,1110,1110,2910,474,63,142,4,30,,2197,713,474,63,142,4,30,,4,4,3,3,1,1,5,5,2,2,1041,1041,1141,1141,3130,437,63,208,,38,1,2383,747,437,63,208,,38,1,1,1,5,5,,,8,8,3,3,1338,1338,1028,1028,3415,704,57,188,4,50,1,2411,1004,704,57,188,4,50,1,5,5,7,7,,,8,8,,,965,965,1426,1426,3533,733,68,198,3,47,3,2481,1052,733,68,198,3,47,3,2,2,6,6,3,3,2,2,5,5,13,13,1048,1048,1402,1402
함평군,사고건수,489,92,6,67,1,19,4,300,189,92,6,67,1,19,4,3,3,2,2,,,2,2,3,3,143,143,147,147,608,113,21,60,1,30,1,382,226,113,21,60,1,30,1,1,1,5,5,,,5,5,2,2,189,189,180,180,553,106,12,61,1,27,2,344,209,106,12,61,1,27,2,1,1,2,2,,,8,8,4,4,183,183,146,146,560,108,13,67,1,28,1,342,218,108,13,67,1,28,1,1,1,2,2,,,5,5,2,2,161,161,171,171,583,150,11,65,,23,,334,249,150,11,65,,23,,4,4,2,2,,,1,1,4,4,5,5,149,149,169,169
,사망자수,13,6,1,5,0,1,0,0,13,6,1,5,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,6,4,0,1,0,1,0,0,6,4,0,1,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,9,4,0,5,0,0,0,0,9,4,0,5,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,6,2,0,0,0,4,0,0,6,2,0,0,0,4,0,0,0,0,0,,,0,0,0,0,0,0,0,0,10,4,0,4,,1,,1,9,4,0,4,,1,,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0
,부상자수,808,162,8,123,2,22,4,487,321,162,8,123,2,22,4,3,3,2,2,,,2,2,4,4,239,239,237,237,1023,209,57,94,1,33,2,627,396,209,57,94,1,33,2,1,1,5,5,,,8,8,3,3,315,315,295,295,999,192,16,90,4,35,2,660,339,192,16,90,4,35,2,1,1,2,2,,,12,12,6,6,339,339,300,300,1054,199,24,124,2,29,1,675,379,199,24,124,2,29,1,1,1,2,2,,,6,6,2,2,251,251,413,413,1040,273,22,112,,25,,608,432,273,22,112,,25,,3,3,2,2,,,1,1,4,4,5,5,241,241,352,352
영광군,사고건수,806,164,28,57,,12,17,528,278,164,28,57,,12,17,1,1,7,7,,,3,3,3,3,271,271,243,243,786,153,25,62,,26,6,514,272,153,25,62,,26,6,1,1,4,4,,,3,3,2,2,266,266,238,238,735,139,14,65,,26,7,484,251,139,14,65,,26,7,,,3,3,,,2,2,2,2,289,289,188,188,829,165,19,65,,25,1,554,275,165,19,65,,25,1,1,1,,,,,3,3,1,1,263,263,286,286,821,163,25,45,,17,,571,250,163,25,45,,17,,2,2,2,2,,,4,4,1,1,12,12,278,278,272,272
,사망자수,12,7,0,4,,0,0,1,11,7,0,4,,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,16,7,1,4,,2,1,1,15,7,1,4,,2,1,0,0,0,0,,,0,0,1,1,0,0,0,0,11,4,1,5,,1,0,0,11,4,1,5,,1,0,,,0,0,,,0,0,0,0,0,0,0,0,12,4,1,4,,3,0,0,12,4,1,4,,3,0,0,0,,,,,0,0,0,0,0,0,0,0,7,4,0,1,,1,,1,6,4,0,1,,1,,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0
,부상자수,1265,265,41,80,,13,18,848,417,265,41,80,,13,18,1,1,7,7,,,4,4,3,3,418,418,415,415,1226,247,29,91,,26,5,828,398,247,29,91,,26,5,1,1,4,4,,,5,5,2,2,399,399,417,417,1176,231,20,110,,27,7,781,395,231,20,110,,27,7,,,3,3,,,2,2,2,2,470,470,304,304,1488,302,27,115,,28,1,1015,473,302,27,115,,28,1,1,1,,,,,4,4,1,1,412,412,597,597,1463,237,44,76,,16,,1090,373,237,44,76,,16,,3,3,2,2,,,4,4,0,0,17,17,464,464,600,600
장성군,사고건수,848,157,27,68,1,17,6,572,276,157,27,68,1,17,6,2,2,3,3,,,4,4,,,263,263,300,300,947,146,23,103,,12,1,662,285,146,23,103,,12,1,2,2,9,9,,,7,7,3,3,335,335,306,306,1058,199,14,107,2,18,1,717,341,199,14,107,2,18,1,1,1,3,3,,,2,2,1,1,403,403,307,307,1089,214,23,125,1,20,1,705,384,214,23,125,1,20,1,1,1,9,9,,,9,9,1,1,301,301,384,384,1097,219,25,93,1,13,1,745,352,219,25,93,1,13,1,,,6,6,,,1,1,3,3,5,5,349,349,381,381
,사망자수,12,6,2,3,0,1,0,0,12,6,2,3,0,1,0,0,0,0,0,,,0,0,,,0,0,0,0,8,5,0,1,,1,0,1,7,5,0,1,,1,0,1,1,0,0,,,0,0,0,0,0,0,0,0,7,2,1,3,0,1,0,0,7,2,1,3,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,6,2,0,3,0,1,0,0,6,2,0,3,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,8,5,2,1,0,0,0,0,8,5,2,1,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0
,부상자수,1579,287,50,100,1,19,6,1116,463,287,50,100,1,19,6,2,2,3,3,,,5,5,,,530,530,576,576,1555,239,37,178,,14,1,1086,469,239,37,178,,14,1,1,1,10,10,,,13,13,3,3,507,507,552,552,1961,398,41,153,3,20,1,1345,616,398,41,153,3,20,1,2,2,3,3,,,3,3,1,1,762,762,574,574,2018,369,48,194,1,21,1,1384,634,369,48,194,1,21,1,1,1,9,9,,,13,13,1,1,521,521,839,839,2096,422,72,143,4,20,2,1433,663,422,72,143,4,20,2,,,6,6,,,1,1,3,3,6,6,607,607,810,810
완도군,사고건수,512,84,17,60,2,15,2,332,180,84,17,60,2,15,2,1,1,5,5,,,2,2,6,6,159,159,159,159,505,93,9,66,,13,1,323,182,93,9,66,,13,1,1,1,3,3,,,3,3,2,2,163,163,151,151,495,114,11,55,,14,2,299,196,114,11,55,,14,2,4,4,3,3,1,1,3,3,6,6,141,141,141,141,537,98,10,76,1,16,,336,201,98,10,76,1,16,,,,2,2,,,,,3,3,155,155,176,176,503,111,12,66,1,6,,307,196,111,12,66,1,6,,5,5,1,1,,,4,4,4,4,5,5,143,143,145,145
,사망자수,9,1,1,6,0,1,0,0,9,1,1,6,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,13,4,0,4,,1,1,3,10,4,0,4,,1,1,1,1,0,0,,,0,0,2,2,0,0,0,0,4,2,0,0,,1,0,1,3,2,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,3,0,7,0,1,,1,11,3,0,7,0,1,,,,1,1,,,,,0,0,0,0,0,0,8,2,0,3,0,0,,3,5,2,0,3,0,0,,1,1,0,0,,,0,0,2,2,0,0,0,0,0,0
,부상자수,800,128,27,89,5,15,2,534,266,128,27,89,5,15,2,1,1,5,5,,,3,3,7,7,254,254,264,264,734,137,11,94,,13,0,479,255,137,11,94,,13,0,0,0,3,3,,,3,3,4,4,221,221,248,248,793,179,21,110,,14,2,467,326,179,21,110,,14,2,4,4,3,3,1,1,3,3,6,6,205,205,245,245,824,155,19,101,1,21,,527,297,155,19,101,1,21,,,,1,1,,,,,7,7,211,211,308,308,796,172,18,95,1,9,,501,295,172,18,95,1,9,,4,4,1,1,,,6,6,2,2,8,8,226,226,254,254
진도군,사고건수,344,60,7,45,,14,1,217,127,60,7,45,,14,1,2,2,,,,,2,2,6,6,111,111,96,96,364,75,6,46,,12,4,221,143,75,6,46,,12,4,2,2,,,,,1,1,1,1,108,108,109,109,365,83,4,43,,12,,223,142,83,4,43,,12,,3,3,2,2,,,,,5,5,106,106,107,107,400,80,10,37,,13,,260,140,80,10,37,,13,,4,4,2,2,,,1,1,1,1,120,120,132,132,406,89,9,30,,9,,269,137,89,9,30,,9,,3,3,1,1,,,4,4,2,2,4,4,111,111,144,144
,사망자수,16,5,1,7,,1,0,2,14,5,1,7,,1,0,2,2,,,,,0,0,0,0,0,0,0,0,6,3,0,1,,0,0,2,4,3,0,1,,0,0,2,2,,,,,0,0,0,0,0,0,0,0,12,8,0,2,,1,,1,11,8,0,2,,1,,0,0,0,0,,,,,1,1,0,0,0,0,8,1,1,1,,2,,3,5,1,1,1,,2,,1,1,0,0,,,1,1,1,1,0,0,0,0,4,0,0,2,,0,,2,2,0,0,2,,0,,1,1,0,0,,,0,0,1,1,0,0,0,0,0,0
,부상자수,485,78,6,62,,17,1,321,164,78,6,62,,17,1,1,1,,,,,3,3,11,11,168,168,138,138,640,132,12,102,,14,4,376,264,132,12,102,,14,4,0,0,,,,,3,3,1,1,172,172,200,200,558,141,7,70,,12,,328,230,141,7,70,,12,,4,4,2,2,,,,,6,6,153,153,163,163,631,123,25,65,,14,,404,227,123,25,65,,14,,3,3,2,2,,,0,0,0,0,163,163,236,236,700,142,13,51,,12,,482,218,142,13,51,,12,,2,2,1,1,,,11,11,3,3,4,4,174,174,287,287
신안군,사고건수,307,31,5,44,,10,3,214,93,31,5,44,,10,3,,,3,3,,,1,1,4,4,94,94,112,112,330,39,7,41,,6,2,235,95,39,7,41,,6,2,5,5,2,2,,,,,2,2,114,114,112,112,408,61,9,62,,10,3,263,145,61,9,62,,10,3,3,3,1,1,,,2,2,4,4,143,143,110,110,460,67,9,54,,6,1,323,137,67,9,54,,6,1,2,2,2,2,,,2,2,3,3,147,147,167,167,424,72,10,53,,11,2,276,148,72,10,53,,11,2,3,3,1,1,,,3,3,,,1,1,135,135,133,133
,사망자수,8,2,1,3,,0,0,2,6,2,1,3,,0,0,,,1,1,,,0,0,1,1,0,0,0,0,11,3,1,4,,1,0,2,9,3,1,4,,1,0,1,1,0,0,,,,,1,1,0,0,0,0,3,1,0,1,,1,0,0,3,1,0,1,,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,10,4,1,5,,0,0,0,10,4,1,5,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,8,0,0,6,,1,0,1,7,0,0,6,,1,0,0,0,0,0,,,1,1,,,0,0,0,0,0,0
,부상자수,499,64,11,71,,12,3,338,161,64,11,71,,12,3,,,2,2,,,1,1,4,4,142,142,189,189,490,61,7,55,,5,2,360,130,61,7,55,,5,2,4,4,2,2,,,,,2,2,169,169,183,183,780,144,18,107,,17,4,490,290,144,18,107,,17,4,3,3,1,1,,,3,3,9,9,259,259,215,215,872,133,17,89,,12,1,620,252,133,17,89,,12,1,6,6,2,2,,,2,2,4,4,249,249,357,357,805,130,19,81,,16,2,557,248,130,19,81,,16,2,3,3,1,1,,,3,3,,,1,1,226,226,323,323
포항시,사고건수,11467,2016,316,399,25,307,29,8375,3092,2016,316,399,25,307,29,4,4,101,101,1,1,31,31,2,2,4726,4726,3510,3510,12504,2265,351,413,27,342,19,9087,3417,2265,351,413,27,342,19,2,2,92,92,2,2,23,23,1,1,5178,5178,3789,3789,13163,2380,350,464,34,320,9,9606,3557,2380,350,464,34,320,9,1,1,124,124,3,3,33,33,5,5,5672,5672,3768,3768,13238,2770,315,510,16,403,20,9204,4034,2770,315,510,16,403,20,5,5,121,121,1,1,29,29,1,1,4687,4687,4360,4360,13126,2883,232,459,34,440,14,9064,4062,2883,232,459,34,440,14,3,3,91,91,10,10,41,41,,,115,115,4650,4650,4154,4154
,사망자수,32,21,1,5,1,3,0,1,31,21,1,5,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,53,36,0,6,1,9,1,0,53,36,0,6,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,2,3,2,4,0,3,30,19,2,3,2,4,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,27,14,1,6,1,2,0,3,24,14,1,6,1,2,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,29,13,0,4,0,11,0,1,28,13,0,4,0,11,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,0
,부상자수,17253,3133,434,622,33,364,36,12631,4622,3133,434,622,33,364,36,5,5,107,107,1,1,53,53,2,2,6872,6872,5591,5591,19290,3550,521,631,45,388,18,14137,5153,3550,521,631,45,388,18,2,2,96,96,2,2,35,35,1,1,7916,7916,6085,6085,20438,3780,503,694,54,394,9,15004,5434,3780,503,694,54,394,9,1,1,128,128,4,4,67,67,4,4,8732,8732,6068,6068,21800,4537,484,764,25,497,27,15466,6334,4537,484,764,25,497,27,6,6,125,125,1,1,52,52,4,4,7339,7339,7939,7939,21317,4546,347,681,60,560,19,15104,6213,4546,347,681,60,560,19,3,3,100,100,9,9,62,62,,,137,137,7173,7173,7620,7620
경주시,사고건수,6650,1150,171,449,8,141,22,4709,1941,1150,171,449,8,141,22,3,3,56,56,1,1,24,24,14,14,2746,2746,1865,1865,6769,1334,180,400,11,130,12,4702,2067,1334,180,400,11,130,12,7,7,38,38,2,2,19,19,4,4,2733,2733,1899,1899,6807,1391,139,389,15,141,19,4713,2094,1391,139,389,15,141,19,2,2,51,51,,,15,15,16,16,2861,2861,1768,1768,6271,1336,111,375,14,170,10,4255,2016,1336,111,375,14,170,10,,,53,53,,,17,17,8,8,2269,2269,1908,1908,6574,1427,108,388,8,135,15,4493,2081,1427,108,388,8,135,15,2,2,39,39,1,1,11,11,3,3,58,58,2440,2440,1939,1939
,사망자수,43,16,4,15,0,4,0,4,39,16,4,15,0,4,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,45,26,2,9,0,3,1,4,41,26,2,9,0,3,1,2,2,1,1,0,0,1,1,0,0,0,0,0,0,35,20,0,5,0,4,3,3,32,20,0,5,0,4,3,0,0,0,0,,,0,0,3,3,0,0,0,0,30,13,0,10,1,5,0,1,29,13,0,10,1,5,0,,,0,0,,,0,0,1,1,0,0,0,0,38,18,2,9,0,4,0,5,33,18,2,9,0,4,0,1,1,0,0,0,0,3,3,1,1,0,0,0,0,0,0
,부상자수,10851,1889,262,728,14,160,31,7767,3084,1889,262,728,14,160,31,3,3,57,57,1,1,32,32,16,16,4313,4313,3345,3345,11154,2178,288,617,14,157,16,7884,3270,2178,288,617,14,157,16,5,5,41,41,2,2,40,40,5,5,4320,4320,3471,3471,11177,2259,234,612,36,179,23,7834,3343,2259,234,612,36,179,23,2,2,54,54,,,25,25,17,17,4610,4610,3126,3126,10488,2121,170,590,14,198,14,7381,3107,2121,170,590,14,198,14,,,54,54,,,24,24,12,12,3640,3640,3651,3651,11103,2286,198,562,18,164,18,7857,3246,2286,198,562,18,164,18,2,2,42,42,1,1,10,10,2,2,68,68,3972,3972,3760,3760
김천시,사고건수,2359,400,50,177,7,61,5,1659,700,400,50,177,7,61,5,,,13,13,,,9,9,4,4,964,964,669,669,2432,422,44,181,6,59,2,1718,714,422,44,181,6,59,2,1,1,12,12,,,9,9,5,5,1003,1003,688,688,2597,486,45,184,2,71,3,1806,791,486,45,184,2,71,3,3,3,12,12,,,11,11,6,6,1107,1107,667,667,2673,523,47,197,3,95,1,1807,866,523,47,197,3,95,1,1,1,13,13,1,1,8,8,3,3,937,937,844,844,2527,500,41,185,5,84,1,1711,816,500,41,185,5,84,1,1,1,10,10,7,7,9,9,5,5,15,15,952,952,712,712
