시군구,구분,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,기타,,미분류,,합계,,,,,,,,원동기 자전거 이상,,,,,,,사륜오토바이(ATV),,자전거,,개인형이동수단(PM),,건설기계,,농기계,,보행자,,기타,,미분류,
,,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,승용,승합,화물,특수,이륜,원동기,기타,합계,승용,승합,화물,특수,이륜,원동기,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타,합계,기타
,사망자수,17,8,0,4,0,2,1,2,15,8,0,4,0,2,1,,,1,1,,,1,1,,,0,0,0,0,14,7,1,2,,3,0,1,13,7,1,2,,3,0,0,0,0,0,0,0,1,1,,,0,0,0,0,8,2,1,1,0,1,0,3,5,2,1,1,0,1,0,1,1,0,0,0,0,2,2,,,0,0,0,0,7,2,0,0,0,3,0,2,5,2,0,0,0,3,0,,,0,0,0,0,2,2,,,0,0,0,0,15,4,2,3,0,5,0,1,14,4,2,3,0,5,0,,,1,1,0,0,0,0,,,0,0,0,0,0,0
,부상자수,9131,1501,246,281,2,260,71,6770,2361,1501,246,281,2,260,71,,,58,58,,,14,14,,,3602,3602,3096,3096,9540,1691,250,233,,276,60,7030,2510,1691,250,233,,276,60,2,2,51,51,5,5,8,8,,,3613,3613,3351,3351,9471,1699,323,229,2,355,48,6815,2656,1699,323,229,2,355,48,0,0,50,50,2,2,22,22,,,3839,3839,2902,2902,10063,1843,475,257,1,395,53,7039,3024,1843,475,257,1,395,53,,,55,55,4,4,13,13,,,3181,3181,3786,3786,10316,1851,385,273,6,387,48,7366,2950,1851,385,273,6,387,48,,,61,61,5,5,14,14,,,60,60,3371,3371,3855,3855
도봉구,사고건수,4245,685,114,103,4,117,40,3182,1063,685,114,103,4,117,40,,,81,81,1,1,3,3,,,1745,1745,1352,1352,4176,642,124,93,,119,14,3184,992,642,124,93,,119,14,1,1,56,56,1,1,4,4,,,1735,1735,1387,1387,4094,617,149,104,4,176,15,3029,1065,617,149,104,4,176,15,,,73,73,3,3,5,5,,,1777,1777,1171,1171,4040,712,163,120,3,202,33,2807,1233,712,163,120,3,202,33,,,71,71,6,6,6,6,,,1437,1437,1287,1287,3936,669,180,92,1,177,18,2799,1137,669,180,92,1,177,18,,,55,55,3,3,7,7,,,67,67,1402,1402,1265,1265
,사망자수,9,3,0,2,0,3,1,0,9,3,0,2,0,3,1,,,0,0,0,0,0,0,,,0,0,0,0,6,1,3,0,,0,0,2,4,1,3,0,,0,0,0,0,1,1,0,0,1,1,,,0,0,0,0,4,2,0,0,0,2,0,0,4,2,0,0,0,2,0,,,0,0,0,0,0,0,,,0,0,0,0,7,3,0,2,0,1,0,1,6,3,0,2,0,1,0,,,1,1,0,0,0,0,,,0,0,0,0,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,,,2,2,0,0,0,0,,,0,0,0,0,0,0
,부상자수,5942,936,156,132,6,141,48,4523,1419,936,156,132,6,141,48,,,83,83,1,1,3,3,,,2398,2398,2038,2038,5929,910,154,121,,132,16,4596,1333,910,154,121,,132,16,1,1,58,58,1,1,3,3,,,2410,2410,2123,2123,5840,896,216,135,6,216,16,4355,1485,896,216,135,6,216,16,,,88,88,3,3,6,6,,,2464,2464,1794,1794,5810,990,265,168,5,243,37,4102,1708,990,265,168,5,243,37,,,74,74,6,6,8,8,,,1961,1961,2053,2053,5778,931,245,122,1,209,21,4249,1529,931,245,122,1,209,21,,,60,60,3,3,9,9,,,80,80,1988,1988,2109,2109
은평구,사고건수,5645,784,182,110,1,175,59,4334,1311,784,182,110,1,175,59,,,78,78,,,9,9,,,2427,2427,1820,1820,6015,933,187,127,1,195,38,4534,1481,933,187,127,1,195,38,,,75,75,2,2,8,8,,,2504,2504,1945,1945,6007,903,233,143,1,209,25,4493,1514,903,233,143,1,209,25,,,75,75,7,7,9,9,,,2544,2544,1858,1858,5986,1062,234,124,4,297,49,4216,1770,1062,234,124,4,297,49,,,66,66,3,3,10,10,,,2116,2116,2021,2021,6238,1022,279,142,2,417,33,4343,1895,1022,279,142,2,417,33,1,1,81,81,14,14,8,8,,,87,87,2180,2180,1972,1972
,사망자수,12,3,4,1,0,3,1,0,12,3,4,1,0,3,1,,,0,0,,,0,0,,,0,0,0,0,12,3,3,2,0,1,2,1,11,3,3,2,0,1,2,,,1,1,0,0,0,0,,,0,0,0,0,7,1,0,3,0,1,1,1,6,1,0,3,0,1,1,,,1,1,0,0,0,0,,,0,0,0,0,14,3,3,1,0,2,2,3,11,3,3,1,0,2,2,,,1,1,0,0,2,2,,,0,0,0,0,11,2,1,2,0,2,1,3,8,2,1,2,0,2,1,0,0,2,2,0,0,1,1,,,0,0,0,0,0,0
,부상자수,8079,1182,251,160,1,200,72,6213,1866,1182,251,160,1,200,72,,,79,79,,,9,9,,,3345,3345,2780,2780,8709,1383,256,174,2,232,46,6616,2093,1383,256,174,2,232,46,,,79,79,2,2,11,11,,,3554,3554,2970,2970,8579,1285,318,191,1,254,32,6498,2081,1285,318,191,1,254,32,,,82,82,7,7,9,9,,,3561,3561,2839,2839,8974,1598,337,197,4,379,64,6395,2579,1598,337,197,4,379,64,,,71,71,3,3,11,11,,,3008,3008,3302,3302,9012,1474,486,195,3,488,43,6323,2689,1474,486,195,3,488,43,1,1,84,84,19,19,8,8,,,96,96,3031,3031,3084,3084
서대문구,사고건수,5308,774,180,95,1,162,35,4061,1247,774,180,95,1,162,35,,,35,35,1,1,6,6,,,2157,2157,1862,1862,5384,869,199,102,1,164,28,4021,1363,869,199,102,1,164,28,1,1,37,37,,,6,6,,,2157,2157,1820,1820,5431,918,270,117,1,181,36,3908,1523,918,270,117,1,181,36,,,54,54,4,4,16,16,,,2081,2081,1753,1753,5291,985,285,124,2,238,29,3628,1663,985,285,124,2,238,29,,,43,43,7,7,12,12,,,1686,1686,1880,1880,5211,943,283,152,6,304,35,3488,1723,943,283,152,6,304,35,,,42,42,12,12,8,8,,,49,49,1683,1683,1694,1694
,사망자수,8,3,2,1,0,1,0,1,7,3,2,1,0,1,0,,,0,0,0,0,1,1,,,0,0,0,0,5,3,1,0,0,1,0,0,5,3,1,0,0,1,0,0,0,0,0,,,0,0,,,0,0,0,0,14,5,4,1,0,1,0,3,11,5,4,1,0,1,0,,,1,1,0,0,2,2,,,0,0,0,0,6,3,1,0,0,0,0,2,4,3,1,0,0,0,0,,,1,1,0,0,1,1,,,0,0,0,0,9,4,0,1,0,2,1,1,8,4,0,1,0,2,1,,,0,0,0,0,1,1,,,0,0,0,0,0,0
